Workplace Census Block Code ,Total number of jobs,Number of jobs for workers age 29 or younger,Number of jobs for workers age 30 to 54,Number of jobs for workers age 55 or older,Number of jobs with earnings $1250/month or less,Number of jobs with earnings $1251/month to $3333/month,Number of jobs with earnings greater than $3333/month,"Number of jobs in NAICS sector 11 (Agriculture, Forestry, Fishing and Hunting)","Number of jobs in NAICS sector 21 (Mining, Quarrying, and Oil and Gas Extraction)",Number of jobs in NAICS sector 22 (Utilities),Number of jobs in NAICS sector 23 (Construction),Number of jobs in NAICS sector 31-33 (Manufacturing),Number of jobs in NAICS sector 42 (Wholesale Trade),Number of jobs in NAICS sector 44-45 (Retail Trade),Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Number of jobs in NAICS sector 51 (Information),Number of jobs in NAICS sector 52 (Finance and Insurance),Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Number of jobs in NAICS sector 61 (Educational Services),Number of jobs in NAICS sector 62 (Health Care and Social Assistance),"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Number of jobs in NAICS sector 72 (Accommodation and Food Services),Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Number of jobs in NAICS sector 92 (Public Administration),"Number of jobs for workers with Race: White, Alone",Number of jobs for workers with Race: Black or African American Alone,Number of jobs for workers with Race: American Indian or Alaska Native Alone,Number of jobs for workers with Race: Asian Alone,Number of jobs for workers with Race: Native Hawaiian or Other Pacific Islander Alone,Number of jobs for workers with Race: Two or More Race Groups,Number of jobs for workers with Ethnicity: Not Hispanic or Latino,Number of jobs for workers with Ethnicity: Hispanic or Latino,Number of jobs for workers with Educational Attainment: Less than high school,"Number of jobs for workers with Educational Attainment: High school or equivalent, no college",Number of jobs for workers with Educational Attainment: Some college or Associate degree,Number of jobs for workers with Educational Attainment: Bachelor's degree or advanced degree,Number of jobs for workers with Sex: Male,Number of jobs for workers with Sex: Female,Number of jobs for workers at firms with Firm Age: 0-1 Years,Number of jobs for workers at firms with Firm Age: 2-3 Years,Number of jobs for workers at firms with Firm Age: 4-5 Years,Number of jobs for workers at firms with Firm Age: 6-10 Years,Number of jobs for workers at firms with Firm Age: 11+ Years,Number of jobs for workers at firms with Firm Size: 0-19 Employees,Number of jobs for workers at firms with Firm Size: 20-49 Employees,Number of jobs for workers at firms with Firm Size: 50-249 Employees,Number of jobs for workers at firms with Firm Size: 250-499 Employees,Number of jobs for workers at firms with Firm Size: 500+ Employees,Year
245101903004009,5,0,1,4,3,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,1,4,3,2,0,0,0,5,0,5,0,0,0,0,2012
245101903004010,8,0,8,0,0,5,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,8,0,2,1,3,2,8,0,0,0,0,8,0,8,0,0,0,0,2012
245101903004011,71,15,44,12,25,35,11,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,18,0,2,0,1,66,5,12,14,23,7,32,39,0,0,0,0,71,6,0,65,0,0,2012
245101903004013,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,2012
245101903004014,2,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,1,1,2,0,0,0,0,2,0,0,0,0,2012
245102001001015,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,1,1,0,0,0,0,2,2,0,0,0,0,2012
245102001001017,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,2,0,0,0,0,2,0,0,0,0,2012
245102001001018,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2012
245102001002001,5,1,3,1,2,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,3,0,1,0,3,2,5,0,0,0,0,5,0,0,0,0,2012
245102001002002,4,0,1,3,1,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,1,0,2,2,0,0,0,0,4,4,0,0,0,0,2012
245102001002003,4,2,2,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,0,1,4,0,4,0,0,0,0,4,0,0,0,0,2012
245102001002006,963,108,579,276,129,374,460,0,0,0,0,0,15,5,0,2,2,0,11,1,6,0,920,0,0,1,0,193,678,5,82,0,5,948,15,84,173,306,292,230,733,2,2,1,1,957,3,1,4,3,952,2012
245102001002010,48,4,30,14,17,19,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,36,0,0,0,0,7,39,1,0,0,1,46,2,3,13,15,13,9,39,0,0,0,5,43,14,0,0,0,34,2012
245102001002012,6,3,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,2,0,0,6,0,0,0,1,2,1,5,0,0,0,6,0,6,0,0,0,0,2012
245102002001000,16,1,11,4,3,4,9,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,1,16,0,1,5,6,3,12,4,1,0,0,0,15,12,2,0,0,2,2012
245102002001001,12,2,9,1,4,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,12,0,1,3,2,4,9,3,6,0,0,6,0,12,0,0,0,0,2012
245102002001003,31,5,15,11,6,19,6,0,0,0,0,14,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,1,1,0,1,29,2,6,5,12,3,21,10,0,0,0,0,31,31,0,0,0,0,2012
245102002001012,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2012
245102002001015,12,4,4,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,2,0,0,12,0,3,3,2,0,0,12,0,0,11,0,1,12,0,0,0,0,2012
245102002002000,4,0,1,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1,0,0,1,3,2,2,0,0,1,0,3,4,0,0,0,0,2012
245102002003000,5,0,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,2,2,0,1,1,4,0,0,0,0,5,5,0,0,0,0,2012
245102002003002,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2012
245102002003004,8,2,5,1,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,4,2,0,2,6,0,0,0,0,8,7,0,0,0,1,2012
245102002004001,48,5,21,22,2,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,15,22,2,7,0,2,39,9,13,12,13,5,29,19,0,0,0,0,48,0,47,0,0,1,2012
245102002004002,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2012
245102002005000,8,1,5,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,0,0,0,0,8,0,1,4,2,0,4,4,0,0,0,0,8,8,0,0,0,0,2012
245102002005007,32,3,29,0,5,9,18,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,1,2,31,1,2,13,10,4,27,5,0,0,0,32,0,32,0,0,0,0,2012
245102002005010,13,2,8,3,4,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,1,0,0,11,2,2,4,4,1,7,6,0,0,0,13,0,13,0,0,0,0,2012
245102002005011,9,0,4,5,1,3,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,9,0,2,3,2,2,7,2,0,0,0,0,9,9,0,0,0,0,2012
245102002005018,73,36,33,4,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,0,0,12,60,0,0,0,1,70,3,16,6,12,3,27,46,0,0,0,72,1,0,0,0,71,2,2012
245102002005019,9,1,6,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,5,4,0,0,0,0,9,0,1,4,1,2,1,8,0,0,0,1,8,0,0,0,9,0,2012
245102002005020,3,1,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,2,1,0,0,3,0,0,3,0,0,0,0,2012
245102002005023,47,11,28,8,6,6,35,0,0,0,33,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,0,1,0,1,46,1,2,13,13,8,42,5,0,0,0,0,47,47,0,0,0,0,2012
245102002005026,5,2,3,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,5,0,0,2,0,1,3,2,0,0,5,0,0,5,0,0,0,0,2012
245102003001004,14,2,8,4,2,7,5,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,13,1,1,2,6,3,7,7,0,0,0,3,11,4,0,0,0,10,2012
245102003001007,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,2012
245102003001008,14,0,6,8,8,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,5,0,1,0,1,13,1,3,4,5,2,4,10,0,0,0,0,14,0,0,0,0,14,2012
245102003001010,12,1,4,7,7,3,2,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,5,0,0,12,0,0,5,3,3,8,4,2,0,0,2,8,11,0,0,0,1,2012
245102003001012,13,2,6,5,0,8,5,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,13,0,2,7,2,0,7,6,0,1,0,3,9,11,0,2,0,0,2012
245102003001013,2,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,1,1,0,0,0,2,0,2,0,0,0,0,2012
245102003002010,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0,2,0,0,2,0,0,0,0,2012
245102003002012,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,1,0,1,2,1,0,3,0,0,0,3,0,0,0,0,2012
245102003002014,42,3,22,17,3,18,21,0,0,0,4,21,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,35,7,0,0,0,0,41,1,4,18,10,7,33,9,0,0,0,0,42,18,21,0,0,3,2012
245102004001002,28,5,14,9,5,11,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,9,16,0,3,0,0,27,1,4,6,11,2,11,17,0,0,0,0,28,4,1,0,0,23,2012
245102004001006,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2012
245102004001010,7,0,5,2,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,4,3,0,0,6,1,0,0,0,0,7,7,0,0,0,0,2012
245102004001012,13,1,12,0,6,6,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,13,0,4,6,0,2,12,1,0,0,0,13,0,13,0,0,0,0,2012
245102004001013,9,4,5,0,1,5,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,0,0,3,0,2,7,2,0,0,0,0,9,0,0,0,0,9,2012
245102004001015,14,1,11,2,0,8,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5,8,0,1,0,0,13,1,1,2,6,4,8,6,0,0,0,0,14,0,0,0,0,14,2012
245102004002000,12,3,6,3,5,3,4,0,0,0,0,0,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,8,3,0,1,0,0,12,0,0,4,2,3,11,1,0,0,1,2,9,0,0,11,1,0,2012
245102004002001,41,7,22,12,10,24,7,0,0,0,0,0,6,20,15,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,0,0,1,41,0,11,15,5,3,26,15,0,0,0,14,27,38,0,0,0,3,2012
245102004002006,5,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,2,0,1,4,0,5,0,0,0,5,0,0,0,0,2012
245102005001000,8,0,2,6,2,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,2,0,0,8,0,2,0,5,1,2,6,0,0,0,4,4,8,0,0,0,0,2012
245102005001003,28,9,13,6,11,14,3,0,0,0,0,0,12,12,0,0,4,0,0,0,0,0,0,0,0,0,0,12,9,2,3,0,2,25,3,6,4,6,3,17,11,0,0,0,10,18,28,0,0,0,0,2012
245102005001004,25,3,20,2,0,14,11,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,24,1,5,8,7,2,20,5,0,0,0,0,25,0,25,0,0,0,2012
245102005001010,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,1,1,0,0,0,0,2,2,0,0,0,0,2012
245102005002000,344,150,170,24,144,131,69,0,0,0,0,0,4,85,0,0,1,0,5,0,0,5,145,0,94,5,0,102,199,2,38,1,2,327,17,29,69,58,38,108,236,32,4,2,141,165,31,1,22,17,273,2012
245102005002001,12,2,4,6,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,3,9,0,0,0,0,11,1,6,1,2,1,4,8,2,0,0,0,10,3,0,9,0,0,2012
245102005002004,35,11,16,8,16,17,2,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,23,9,2,0,0,1,29,6,6,10,5,3,27,8,1,1,0,1,32,2,2,1,0,30,2012
245102005002005,20,10,9,1,8,7,5,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,5,0,2,0,0,9,9,0,2,0,0,20,0,2,2,6,0,12,8,0,0,0,1,19,1,4,0,0,15,2012
245102005003003,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,2,2,1,0,0,0,0,3,2,0,1,0,0,2012
245102005003005,41,3,20,18,3,13,25,0,0,0,0,0,14,0,0,0,2,24,1,0,0,0,0,0,0,0,0,36,5,0,0,0,0,41,0,2,17,8,11,32,9,0,0,0,0,41,0,39,1,0,1,2012
245102005004001,6,0,5,1,4,1,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,0,1,2,2,1,1,5,0,5,0,0,1,5,0,1,0,0,2012
245102005004002,21,6,6,9,6,12,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,15,6,0,0,0,0,21,0,1,5,6,3,12,9,0,0,0,0,21,6,15,0,0,0,2012
245102005004003,90,17,52,21,6,19,65,0,0,0,5,34,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,67,19,1,1,0,2,75,15,12,19,24,18,82,8,0,1,0,32,57,6,31,49,0,4,2012
245102005004004,4,0,1,3,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,3,1,0,2,2,0,0,0,4,0,4,0,0,0,0,2012
245102005004005,5,0,1,4,1,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,0,4,3,2,0,0,0,0,5,4,0,0,1,0,2012
245102005004009,94,28,42,24,6,20,68,0,0,0,0,0,79,0,0,0,0,0,9,0,0,0,0,2,1,3,0,64,24,1,5,0,0,79,15,18,19,19,10,88,6,0,0,0,0,94,2,0,90,0,2,2012
245102005004010,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,2012
245102005005000,3,0,3,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,2,1,1,2,0,0,3,0,0,3,0,0,0,0,2012
245102005005001,29,4,13,12,8,16,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,3,0,0,29,0,4,12,7,2,11,18,0,0,0,0,29,0,0,29,0,0,2012
245102005005004,7,0,3,4,1,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,7,0,4,1,2,0,2,5,0,0,0,0,7,7,0,0,0,0,2012
245102005005005,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1,1,0,0,0,0,2,2,0,0,0,0,2012
245102005005006,88,9,37,42,33,35,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,84,0,82,5,0,1,0,0,88,0,5,26,21,27,16,72,2,0,0,0,86,2,0,83,0,3,2012
245102006001013,7,0,2,5,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,3,0,0,7,0,1,3,2,1,4,3,0,0,0,1,6,7,0,0,0,0,2012
245102006001015,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2012
245102006001016,22,1,9,12,1,7,14,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,22,0,1,12,3,5,20,2,0,0,0,0,22,0,0,0,21,1,2012
245102006001020,7,0,2,5,1,3,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,7,0,0,2,5,0,6,1,0,0,0,2,5,3,0,0,0,4,2012
245102006001024,137,60,71,6,9,62,66,0,0,0,0,0,0,0,0,0,0,0,5,0,0,131,1,0,0,0,0,41,92,1,3,0,0,136,1,7,18,28,24,51,86,2,0,128,0,7,0,1,132,1,3,2012
245102006001032,16,3,6,7,4,9,3,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,16,0,1,8,3,1,11,5,0,0,0,0,16,16,0,0,0,0,2012
245102006001033,36,2,19,15,5,20,11,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,36,0,7,9,13,5,26,10,0,0,0,0,36,4,32,0,0,0,2012
245102006001034,195,74,104,17,110,63,22,0,0,0,1,0,8,175,3,0,0,0,0,0,1,6,1,0,0,0,0,95,91,2,5,0,2,194,1,29,41,37,14,107,88,0,0,0,6,189,16,1,172,0,6,2012
245102006001038,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,1,1,3,0,0,1,0,0,2,1,0,0,0,2,2012
245102006001054,3,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,3,0,1,1,1,0,3,0,0,0,0,1,2,2,0,0,0,1,2012
245102006001055,28,7,16,5,8,13,7,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,1,26,2,8,4,7,2,14,14,0,0,11,0,17,25,0,0,0,3,2012
245102006001057,10,1,4,5,2,2,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,10,0,1,4,3,1,5,5,0,0,0,0,10,10,0,0,0,0,2012
245102006002000,44,25,17,2,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,8,32,0,3,0,1,42,2,6,5,4,4,19,25,0,0,0,43,1,0,0,0,44,0,2012
245102006002002,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2012
245102006002003,6,0,2,4,0,4,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,6,0,0,2,0,4,5,1,0,0,0,0,6,6,0,0,0,0,2012
245102006002005,7,0,5,2,2,2,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,1,4,2,6,1,1,0,0,0,6,7,0,0,0,0,2012
245102006002007,84,16,35,33,12,39,33,0,0,0,0,18,32,16,0,0,0,0,0,0,0,1,2,0,5,10,0,67,12,0,5,0,0,82,2,7,26,15,20,55,29,8,1,0,0,75,47,35,0,0,2,2012
245102006002008,48,5,23,20,7,28,13,0,0,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15,0,5,0,0,48,0,5,17,11,10,40,8,0,0,0,1,47,25,22,0,0,1,2012
245102006002009,26,8,13,5,8,12,6,0,0,0,0,0,8,1,17,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,2,0,4,26,0,2,4,9,3,19,7,0,0,0,14,12,25,0,0,1,0,2012
245102006002010,14,5,5,4,3,4,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,0,1,2,4,2,12,2,0,0,0,3,11,14,0,0,0,0,2012
245102006002011,45,8,25,12,4,23,18,0,0,0,3,25,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,2,0,0,44,1,3,12,12,10,36,9,0,3,0,0,42,23,20,0,0,2,2012
245102006002012,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,2,0,2,0,0,0,0,2,0,0,0,0,2012
245102006003002,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,1,0,1,2,0,0,0,0,3,3,0,0,0,0,2012
245102007011006,7,2,4,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,6,0,0,0,0,7,0,0,0,4,1,1,6,0,0,7,0,0,7,0,0,0,0,2012
245102007012006,5,0,4,1,1,1,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,5,0,0,2,3,0,2,3,0,0,0,5,0,5,0,0,0,0,2012
245102007012013,5,1,2,2,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,5,0,2,0,2,0,2,3,3,0,0,0,2,5,0,0,0,0,2012
245102007014026,10,2,4,4,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,4,0,0,0,0,10,0,1,1,5,1,6,4,0,0,0,1,9,9,0,0,0,1,2012
245102007014032,6,0,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,4,1,1,2,4,0,0,0,0,6,6,0,0,0,0,2012
245102007014042,5,0,2,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,4,3,2,0,0,0,5,0,5,0,0,0,0,2012
245102007015003,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2012
245102007015012,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,2,1,0,2012
245102007021000,9,1,4,4,3,2,4,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,8,1,1,3,1,3,5,4,0,0,0,0,9,8,0,0,0,1,2012
245102007021001,4,2,1,1,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,1,0,1,3,1,0,0,4,0,0,4,0,0,0,0,2012
245102007021005,19,1,13,5,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,17,0,0,0,0,19,0,3,6,8,1,2,17,0,0,0,0,19,19,0,0,0,0,2012
245102008001000,9,0,5,4,6,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,9,0,3,2,2,2,6,3,3,3,2,1,0,9,0,0,0,0,2012
245102008001014,3,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,1,2,1,0,0,3,0,0,0,0,0,3,0,2012
245102008001016,47,3,38,6,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,0,38,3,0,5,0,1,46,1,3,4,17,20,18,29,0,0,0,0,47,0,0,46,0,1,2012
245102008001017,7,2,2,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,6,0,0,0,0,7,0,0,1,3,1,4,3,0,0,7,0,0,7,0,0,0,0,2012
245102008001026,45,2,25,18,4,9,32,0,0,0,4,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0,0,0,0,45,0,8,18,7,10,37,8,0,6,0,0,39,6,39,0,0,0,2012
245102008001027,9,0,8,1,4,4,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,1,0,7,2,0,3,0,6,6,3,0,0,0,0,9,9,0,0,0,0,2012
