rownumber,respondentID,agency_code,activity_year,loan_type,action_taken_type,state,county,msa,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansAff,amtLoansAff,institution_name,agency,loan_to,action_taken,income_group,inflation_factor,amtLoans1_adjusted,amtLoans100k_adjusted,amtLoans250k_adjusted,amtLoansToSmallest_adjusted,amtLoansAff_adjusted
45740,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,6,55,455000,1,155000,0,0,37,302000,0,0,US BANK NA (WI),OCC,Business,Origination,50% to 60% of MFI,1.0,455000.0,155000.0,0.0,302000.0,0.0
45741,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,7,27,232000,0,0,0,0,22,189000,0,0,US BANK NA (WI),OCC,Business,Origination,60% to 70% of MFI,1.0,232000.0,0.0,0.0,189000.0,0.0
45742,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,8,33,217000,0,0,0,0,29,200000,0,0,US BANK NA (WI),OCC,Business,Origination,70% to 80% of MFI,1.0,217000.0,0.0,0.0,200000.0,0.0
45743,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,9,43,286000,1,105000,0,0,31,206000,0,0,US BANK NA (WI),OCC,Business,Origination,80% to 90% of MFI,1.0,286000.0,105000.0,0.0,206000.0,0.0
45744,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,10,26,310000,0,0,0,0,19,166000,0,0,US BANK NA (WI),OCC,Business,Origination,90% to 100% of MFI,1.0,310000.0,0.0,0.0,166000.0,0.0
45745,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,11,6,40000,0,0,0,0,5,35000,0,0,US BANK NA (WI),OCC,Business,Origination,100% to 110% of MFI,1.0,40000.0,0.0,0.0,35000.0,0.0
45746,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,12,5,71000,0,0,0,0,3,28000,0,0,US BANK NA (WI),OCC,Business,Origination,110% to 120% of MFI,1.0,71000.0,0.0,0.0,28000.0,0.0
45747,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,13,54,672000,0,0,0,0,40,451000,0,0,US BANK NA (WI),OCC,Business,Origination,> 120% of MFI,1.0,672000.0,0.0,0.0,451000.0,0.0
45748,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,14,1,5000,0,0,0,0,0,0,0,0,US BANK NA (WI),OCC,Business,Origination,MFI not known (income percentage = 0),1.0,5000.0,0.0,0.0,0.0,0.0
45749,24,1,2016,4,1,24,510,12580,-1.0,N,N,L,15,2,23000,0,0,0,0,0,0,0,0,US BANK NA (WI),OCC,Business,Origination,Tract not Known (reported as NA),1.0,23000.0,0.0,0.0,0.0,0.0
67401,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,1,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,< 10% of Median Family Income (MFI),1.0,0.0,0.0,0.0,0.0,0.0
67402,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,2,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,10% to 20% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67403,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,3,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,20% to 30% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67404,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,4,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,30% to 40% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67405,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,5,1,8000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,40% to 50% of MFI,1.0,8000.0,0.0,0.0,0.0,0.0
67406,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,6,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,50% to 60% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67407,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,7,1,14000,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,60% to 70% of MFI,1.0,14000.0,0.0,0.0,0.0,0.0
67408,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,8,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,70% to 80% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67409,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,9,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,80% to 90% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67410,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,10,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,90% to 100% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67411,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,11,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,100% to 110% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67412,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,12,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,110% to 120% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
67413,209,1,2016,4,1,24,510,12580,-1.0,N,N,L,13,0,0,0,0,0,0,0,0,0,0,FIRST NATIONAL BANK OF OMAHA (NE),OCC,Business,Origination,> 120% of MFI,1.0,0.0,0.0,0.0,0.0,0.0
