rownumber,respondentID,agency_code,activity_year,state,county,msa,census_tract,assessment_area_number,partial_county_indicator,split_county_indicator,population_classification,income_group,loan_indicator
21360,1,1,2017,24,510,12580.0,2707.01,171.0,N,N,L,6,Y
21361,1,1,2017,24,510,12580.0,2707.02,171.0,N,N,L,6,N
21362,1,1,2017,24,510,12580.0,2708.01,171.0,N,N,L,6,Y
21363,1,1,2017,24,510,12580.0,2708.02,171.0,N,N,L,6,Y
21364,1,1,2017,24,510,12580.0,2708.05,171.0,N,N,L,6,Y
21365,1,1,2017,24,510,12580.0,2709.03,171.0,N,N,L,6,N
21366,1,1,2017,24,510,12580.0,2710.01,171.0,N,N,L,6,Y
21367,1,1,2017,24,510,12580.0,2710.02,171.0,N,N,L,6,Y
21368,1,1,2017,24,510,12580.0,2717.0,171.0,N,N,L,6,Y
21369,1,1,2017,24,510,12580.0,2718.01,171.0,N,N,L,6,Y
21370,1,1,2017,24,510,12580.0,2720.07,171.0,N,N,L,6,N
21371,1,1,2017,24,510,12580.0,2801.01,171.0,N,N,L,6,Y
21372,1,1,2017,24,510,12580.0,2801.02,171.0,N,N,L,6,Y
21373,1,1,2017,24,510,12580.0,2803.01,171.0,N,N,L,6,Y
21374,1,1,2017,24,510,12580.0,2803.02,171.0,N,N,L,6,N
21375,1,1,2017,24,510,12580.0,202.0,171.0,N,N,L,7,Y
21376,1,1,2017,24,510,12580.0,602.0,171.0,N,N,L,7,N
21377,1,1,2017,24,510,12580.0,801.01,171.0,N,N,L,7,Y
21378,1,1,2017,24,510,12580.0,903.0,171.0,N,N,L,7,Y
21379,1,1,2017,24,510,12580.0,1206.0,171.0,N,N,L,7,Y
21380,1,1,2017,24,510,12580.0,1207.0,171.0,N,N,L,7,Y
21381,1,1,2017,24,510,12580.0,1308.03,171.0,N,N,L,7,Y
21382,1,1,2017,24,510,12580.0,1308.04,171.0,N,N,L,7,Y
21383,1,1,2017,24,510,12580.0,1507.02,171.0,N,N,L,7,N
21384,1,1,2017,24,510,12580.0,1509.0,171.0,N,N,L,7,N
21385,1,1,2017,24,510,12580.0,2501.01,171.0,N,N,L,7,Y
21386,1,1,2017,24,510,12580.0,2601.01,171.0,N,N,L,7,Y
21387,1,1,2017,24,510,12580.0,2605.01,171.0,N,N,L,7,Y
21388,1,1,2017,24,510,12580.0,2708.03,171.0,N,N,L,7,Y
21389,1,1,2017,24,510,12580.0,2720.06,171.0,N,N,L,7,Y
21390,1,1,2017,24,510,12580.0,2802.0,171.0,N,N,L,7,Y
21391,1,1,2017,24,510,12580.0,902.0,171.0,N,N,L,8,Y
