rownumber,activity_year,loan_type,action_taken_type,state,county,msa,census_tract,split_county_indicator,population_classification,income_group_total,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest
5023,2017,4,1,24,510,12580.0,604.0,N,L,6,11,172000,0,0,0,0,4,67000
5024,2017,4,1,24,510,12580.0,801.02,N,L,6,10,226000,0,0,0,0,4,116000
5025,2017,4,1,24,510,12580.0,901.0,N,L,6,21,84000,0,0,0,0,16,66000
5026,2017,4,1,24,510,12580.0,906.0,N,L,6,13,119000,0,0,0,0,7,92000
5027,2017,4,1,24,510,12580.0,1205.0,N,L,6,59,755000,2,338000,2,1395000,29,875000
5028,2017,4,1,24,510,12580.0,1503.0,N,L,6,9,84000,0,0,0,0,8,74000
5029,2017,4,1,24,510,12580.0,1504.0,N,L,6,41,695000,0,0,4,1518000,14,559000
5030,2017,4,1,24,510,12580.0,1505.0,N,L,6,40,693000,1,106000,1,350000,17,251000
5031,2017,4,1,24,510,12580.0,1507.01,N,L,6,4,13000,0,0,0,0,3,10000
5032,2017,4,1,24,510,12580.0,1511.0,N,L,6,52,580000,1,140000,0,0,26,407000
5033,2017,4,1,24,510,12580.0,1608.02,N,L,6,12,51000,0,0,0,0,9,40000
5034,2017,4,1,24,510,12580.0,1701.0,N,L,6,28,250000,1,150000,0,0,19,137000
5035,2017,4,1,24,510,12580.0,2006.0,N,L,6,32,355000,1,150000,0,0,17,147000
5036,2017,4,1,24,510,12580.0,2101.0,N,L,6,71,891000,4,556000,3,1408000,40,648000
5037,2017,4,1,24,510,12580.0,2301.0,N,L,6,70,791000,3,630000,4,2818000,38,745000
5038,2017,4,1,24,510,12580.0,2502.05,N,L,6,54,790000,2,307000,5,4175000,23,387000
5039,2017,4,1,24,510,12580.0,2502.06,N,L,6,84,1991000,10,1869000,8,4074000,28,827000
5040,2017,4,1,24,510,12580.0,2503.03,N,L,6,13,278000,1,200000,1,500000,8,287000
5041,2017,4,1,24,510,12580.0,2603.02,N,L,6,29,286000,0,0,0,0,20,154000
5042,2017,4,1,24,510,12580.0,2604.02,N,L,6,48,824000,0,0,2,993000,20,228000
5043,2017,4,1,24,510,12580.0,2608.0,N,L,6,37,682000,2,440000,0,0,16,580000
5044,2017,4,1,24,510,12580.0,2610.0,N,L,6,28,386000,1,142000,3,1350000,17,1128000
5045,2017,4,1,24,510,12580.0,2707.01,N,L,6,6,44000,0,0,0,0,4,42000
5046,2017,4,1,24,510,12580.0,2707.02,N,L,6,17,151000,1,212000,1,279000,7,41000
5047,2017,4,1,24,510,12580.0,2708.01,N,L,6,25,182000,0,0,0,0,16,97000
5048,2017,4,1,24,510,12580.0,2708.02,N,L,6,18,160000,0,0,0,0,9,85000
5049,2017,4,1,24,510,12580.0,2708.05,N,L,6,51,364000,0,0,2,1476000,32,698000
5050,2017,4,1,24,510,12580.0,2709.03,N,L,6,21,162000,1,130000,0,0,14,259000
5051,2017,4,1,24,510,12580.0,2710.01,N,L,6,8,80000,0,0,0,0,5,45000
5052,2017,4,1,24,510,12580.0,2710.02,N,L,6,23,190000,0,0,0,0,11,116000
5053,2017,4,1,24,510,12580.0,2717.0,N,L,6,32,425000,1,160000,0,0,21,351000
5054,2017,4,1,24,510,12580.0,2718.01,N,L,6,14,105000,0,0,0,0,8,42000
5055,2017,4,1,24,510,12580.0,2720.07,N,L,6,91,1158000,3,405000,0,0,52,755000
5056,2017,4,1,24,510,12580.0,2801.01,N,L,6,102,1602000,3,497000,3,2338000,43,801000
