rownumber,activity_year,loan_type,action_taken_type,state,county,msa,respondentID,agency_code,nLenders,nLoans,amtLoans,nLoansToSmallest,amtLoansToSmallest
6945,2017,4,1,24.0,510.0,12580.0,15576,1,,7,853000,1,350000
6946,2017,4,1,24.0,510.0,12580.0,675332,2,,152,9897000,84,1524000
6947,2017,4,1,24.0,510.0,12580.0,715044,1,,226,663000,0,0
6948,2017,4,1,24.0,510.0,12580.0,23498,3,,5,235000,0,0
6949,2017,4,1,24.0,510.0,12580.0,23253,1,,4,227000,0,0
6950,2017,4,1,24.0,510.0,12580.0,24096,1,,17,379000,14,256000
6951,2017,4,1,24.0,510.0,12580.0,23248,1,,50,484000,14,98000
6952,2017,4,1,24.0,510.0,12580.0,528960,2,,1,10000,1,10000
6953,2017,4,1,24.0,510.0,12580.0,16820,3,,1,1000000,0,0
6954,2017,4,1,24.0,510.0,12580.0,27244,3,,27,9036000,10,4791000
6955,2017,4,1,24.0,510.0,12580.0,715115,1,,2,3000,2,3000
6956,2017,4,1,24.0,510.0,12580.0,35095,3,,1,255000,1,255000
6957,2017,4,1,24.0,510.0,12580.0,58457,3,,2,700000,0,0
6958,2017,4,1,24.0,510.0,12580.0,90290,3,,1,600000,0,0
6959,2017,4,1,24.0,510.0,12580.0,365325,2,,1,640000,0,0
6960,2017,4,1,24.0,510.0,12580.0,24,1,,324,3161000,243,1829000
6961,2017,4,1,24.0,510.0,12580.0,15790,1,,1,350000,1,350000
6962,2017,4,1,24.0,510.0,12580.0,3253571,2,,5,2851000,3,1351000
6963,2017,4,1,24.0,510.0,12580.0,1,1,,529,23159000,375,11680000
6964,2017,4,1,24.0,510.0,12580.0,34697,3,,125,931000,0,0
6965,2017,4,1,24.0,510.0,12580.0,16892,1,,2,7000,2,7000
6966,2017,4,1,24.0,510.0,12580.0,707938,1,,6,1449000,6,1449000
6967,2017,4,1,24.0,510.0,12580.0,1161029,2,,5,2663000,3,2063000
2418,2017,4,6,24.0,510.0,12580.0,3284070,2,,97,3330000,0,0
2419,2017,4,6,24.0,510.0,12580.0,20504,3,,2,50000,0,0
2420,2017,4,6,24.0,510.0,12580.0,23216,1,,3,35000,0,0
2421,2017,4,6,24.0,510.0,12580.0,24466,1,,1,12000,0,0
2422,2017,4,6,24.0,510.0,12580.0,25079,1,,6,336000,0,0
2423,2017,4,6,24.0,510.0,12580.0,57135,3,,1,170000,1,170000
2424,2017,4,6,24.0,510.0,12580.0,23574,1,,3,121000,0,0
2425,2017,4,6,24.0,510.0,12580.0,2119773,2,,3,117000,0,0
2426,2017,4,6,24.0,510.0,12580.0,25149,1,,6,9000,0,0
2427,2017,4,6,24.0,510.0,12580.0,2339795,2,,4,153000,0,0
2428,2017,4,6,24.0,510.0,12580.0,2938198,2,,5,656000,0,0
2429,2017,4,6,24.0,510.0,12580.0,19690,3,,1,235000,0,0
2430,2017,4,6,24.0,510.0,12580.0,24646,1,,5,761000,0,0
2431,2017,4,6,24.0,510.0,12580.0,24914,1,,5,1073000,0,0
2432,2017,4,6,24.0,510.0,12580.0,24150,1,,3,85000,0,0
2433,2017,4,6,24.0,510.0,12580.0,57053,3,,1,250000,0,0
2434,2017,4,6,24.0,510.0,12580.0,428547,2,,5,77000,0,0
2435,2017,4,6,24.0,510.0,12580.0,595430,2,,6,45000,0,0
2436,2017,4,6,24.0,510.0,12580.0,15576,1,,3,211000,0,0
2437,2017,4,6,24.0,510.0,12580.0,23253,1,,2,862000,0,0
2438,2017,4,6,24.0,510.0,12580.0,23248,1,,28,212000,1,1000
2439,2017,4,6,24.0,510.0,12580.0,2693264,2,,7,71000,0,0
2440,2017,4,6,24.0,510.0,12580.0,13421,3,,1,500000,1,500000
2441,2017,4,6,24.0,510.0,12580.0,2298995,2,,1,63000,0,0
2442,2017,4,6,24.0,510.0,12580.0,1,1,,7,332000,0,0
