census_tract,activity_year,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,nLoansTotal,amtLoansTotal
2502.03,2016,5,12,"$124,000 ",0,$0 ,0,$0 ,6,"$69,000 ",12,"$124,000 "
2502.04,2016,2,3,"$55,000 ",0,$0 ,0,$0 ,2,"$4,000 ",3,"$55,000 "
2502.05,2016,5,63,"$630,000 ",2,"$418,000 ",6,"$3,774,000 ",37,"$802,000 ",71,"$4,822,000 "
2502.06,2016,7,83,"$1,701,000 ",9,"$1,547,000 ",8,"$4,026,000 ",36,"$1,481,000 ",100,"$7,274,000 "
2502.07,2016,4,13,"$106,000 ",0,$0 ,1,"$318,000 ",5,"$15,000 ",14,"$424,000 "
2503.01,2016,4,20,"$109,000 ",3,"$500,000 ",4,"$1,950,000 ",12,"$262,000 ",27,"$2,559,000 "
2503.03,2016,6,33,"$603,000 ",0,$0 ,2,"$759,000 ",8,"$66,000 ",35,"$1,362,000 "
2504.01,2016,5,48,"$454,000 ",0,$0 ,2,"$1,044,000 ",26,"$1,280,000 ",50,"$1,498,000 "
2504.02,2016,4,14,"$75,000 ",1,"$130,000 ",0,$0 ,10,"$175,000 ",15,"$205,000 "
2505,2016,4,91,"$2,000,000 ",8,"$1,365,000 ",7,"$3,490,000 ",25,"$477,000 ",106,"$6,855,000 "
2506,2016,14,20,"$289,000 ",5,"$815,000 ",11,"$6,400,000 ",4,"$260,000 ",36,"$7,504,000 "
2601.01,2016,6,53,"$488,000 ",2,"$254,000 ",0,$0 ,34,"$346,000 ",55,"$742,000 "
2601.02,2016,7,19,"$171,000 ",0,$0 ,0,$0 ,12,"$139,000 ",19,"$171,000 "
2602.01,2016,6,23,"$169,000 ",1,"$150,000 ",0,$0 ,13,"$71,000 ",24,"$319,000 "
2602.02,2016,5,23,"$162,000 ",0,$0 ,0,$0 ,16,"$115,000 ",23,"$162,000 "
2602.03,2016,5,13,"$104,000 ",0,$0 ,0,$0 ,9,"$88,000 ",13,"$104,000 "
2603.01,2016,6,17,"$88,000 ",1,"$102,000 ",0,$0 ,8,"$120,000 ",18,"$190,000 "
