Name,OBJECTID,COLOR_2,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other,geodataEGI,Pop_dens,Pop_chng,HH_chng,AveHHsize
Cedarcroft,36,3,726.0,633.0,45.0,1.0,28.0,0,3.0,16.0,25.0,352.0,374.0,54.0,101.0,26.0,21.0,31.0,35.0,127.0,236.0,95.0,192.0,175.0,94.0,2.0,1.0,15.0,9.0,277.0,263.0,237.0,26.0,14.0,5.0,4.0,5.0,0.13371576,5429.42693465,137.0,36.0,2.74144005
Cedmont,37,1,2594.0,1175.0,1307.0,10.0,50.0,0,16.0,36.0,66.0,1226.0,1368.0,174.0,214.0,96.0,117.0,205.0,365.0,391.0,757.0,275.0,626.0,382.0,166.0,57.0,20.0,187.0,78.0,1074.0,976.0,796.0,180.0,98.0,33.0,25.0,40.0,0.37598718,6899.17136823,13.0,-32.0,2.64548993
Cedonia,38,2,3316.0,176.0,3051.0,4.0,15.0,0,21.0,49.0,63.0,1467.0,1849.0,232.0,298.0,136.0,149.0,364.0,483.0,415.0,940.0,299.0,857.0,391.0,136.0,65.0,29.0,401.0,196.0,1428.0,1295.0,742.0,553.0,133.0,77.0,20.0,36.0,0.28220315,11750.4001996,-265.0,-78.0,2.56062006
Central Forest Park,39,2,1273.0,48.0,1205.0,1.0,7.0,0,1.0,11.0,18.0,606.0,667.0,82.0,100.0,36.0,64.0,121.0,149.0,124.0,374.0,223.0,261.0,119.0,44.0,28.0,8.0,114.0,43.0,571.0,418.0,222.0,196.0,153.0,78.0,19.0,56.0,0.1493383,8524.26976047,-216.0,-96.0,2.82296991
Central Park Heights,40,2,6026.0,109.0,5774.0,11.0,15.0,0,22.0,95.0,85.0,2746.0,3280.0,492.0,570.0,225.0,297.0,731.0,774.0,713.0,1572.0,652.0,1355.0,368.0,97.0,180.0,69.0,807.0,392.0,2829.0,1994.0,846.0,1148.0,835.0,175.0,36.0,624.0,0.44284568,13607.4487934,-1890.0,-488.0,2.95436
Charles North,41,2,1059.0,216.0,666.0,5.0,100.0,1,39.0,32.0,60.0,608.0,451.0,26.0,17.0,6.0,10.0,94.0,209.0,152.0,390.0,155.0,104.0,58.0,10.0,16.0,5.0,30.0,13.0,916.0,716.0,51.0,665.0,200.0,117.0,11.0,72.0,0.13879817,7629.78315034,-77.0,-44.0,1.39664995
Cherry Hill,42,1,8367.0,238.0,7919.0,16.0,21.0,1,62.0,110.0,140.0,3431.0,4936.0,949.0,1242.0,398.0,375.0,1013.0,1228.0,759.0,1710.0,693.0,2096.0,397.0,149.0,193.0,82.0,1506.0,1015.0,3441.0,3199.0,547.0,2652.0,242.0,127.0,12.0,103.0,1.17120628,7143.91659329,595.0,268.0,2.61549997
Cheswolde,43,3,7270.0,5654.0,1053.0,12.0,391.0,11,43.0,106.0,170.0,3296.0,3974.0,693.0,626.0,248.0,220.0,714.0,1301.0,733.0,1353.0,1382.0,1661.0,1354.0,611.0,70.0,30.0,237.0,125.0,3445.0,3291.0,1311.0,1980.0,154.0,74.0,30.0,50.0,0.85527834,8500.15670917,876.0,173.0,2.20904994
Chinquapin Park,44,4,1309.0,134.0,1121.0,14.0,7.0,1,6.0,26.0,23.0,584.0,725.0,75.0,93.0,50.0,47.0,116.0,140.0,170.0,421.0,197.0,352.0,177.0,48.0,27.0,12.0,148.0,57.0,551.0,525.0,456.0,69.0,26.0,11.0,7.0,8.0,0.11472921,11409.4739451,-125.0,-9.0,2.48380994
Orchard Ridge,45,5,546.0,44.0,475.0,9.0,2.0,0,7.0,9.0,18.0,216.0,330.0,68.0,80.0,29.0,30.0,60.0,84.0,62.0,103.0,30.0,142.0,9.0,5.0,14.0,8.0,119.0,77.0,273.0,222.0,26.0,196.0,51.0,41.0,10.0,0.0,0.27758565,1966.96041383,-1154.0,-473.0,2.45946002
