,STUSAB,LOGRECNO,B01001_001,B02001_002,B02001_003,B11001_006,B11001A_006,B11001B_006,B15002_011,B15002_028,C15002A_004,C15002A_009,C15002B_004,C15002B_009,B17001_002,B17001A_002,B17001B_002,B19113_001,B19113A_001,B19113B_001,B23025_005,B25003_002,B25003A_002,B25003B_002,B25035_001,B25077_001
4338,md,5665,2436,2179,218,66,57,7,382,228,,,,,,,,80192.0,,,42,645,633,10,1993.0,319400.0
4339,md,5666,1826,1809,17,66,66,0,277,75,,,,,,,,106949.0,,,48,602,602,0,1972.0,374400.0
4340,md,5667,3342,3216,125,0,0,0,134,215,,,,,,,,132598.0,,,49,887,887,0,1996.0,364600.0
4341,md,5668,860,523,320,116,56,60,147,150,,,,,,,,96375.0,,,30,274,172,102,1982.0,369800.0
4342,md,5669,2508,2398,28,19,19,0,273,281,,,,,,,,105651.0,,,0,727,699,21,1995.0,347400.0
4343,md,5670,2897,2491,346,36,25,11,282,250,,,,,,,,109911.0,,,9,759,704,46,2000.0,372900.0
4344,md,5671,1569,1376,96,46,38,8,83,163,,,,,,,,123073.0,,,35,439,344,45,1981.0,252200.0
4345,md,5672,980,949,31,33,33,0,50,65,,,,,,,,121645.0,,,40,322,310,12,1993.0,383500.0
4346,md,5673,2424,2326,20,36,36,0,187,156,,,,,,,,123203.0,,,63,863,852,5,1987.0,613400.0
4347,md,5674,2537,1907,450,146,101,45,240,194,,,,,,,,107500.0,,,19,557,461,87,1987.0,282400.0
4348,md,5675,1536,1487,18,71,71,0,202,232,,,,,,,,105833.0,,,36,534,517,7,1991.0,459300.0
4349,md,5676,2284,2273,11,105,105,0,104,185,,,,,,,,131587.0,,,71,608,608,0,1996.0,341200.0
4350,md,5677,1435,1042,312,66,34,32,105,116,,,,,,,,102527.0,,,0,401,363,38,1993.0,424600.0
4351,md,5678,1932,1777,75,99,99,0,272,245,,,,,,,,120000.0,,,15,600,580,12,1987.0,340900.0
4352,md,5679,1929,1641,128,55,33,22,222,150,,,,,,,,131375.0,,,22,672,634,16,1978.0,470100.0
4353,md,5680,3100,3006,16,54,54,0,290,265,,,,,,,,115789.0,,,99,938,922,10,1990.0,369200.0
4354,md,5681,1637,1568,44,21,11,10,146,136,,,,,,,,113750.0,,,57,568,549,19,1978.0,344600.0
4355,md,5682,1312,1178,10,52,52,0,126,86,,,,,,,,86905.0,,,0,460,440,0,1978.0,349100.0
4356,md,5683,1276,1223,13,17,17,0,173,144,,,,,,,,111050.0,,,13,473,473,0,1968.0,359900.0
4357,md,5684,3236,2516,195,167,142,25,340,395,,,,,,,,106000.0,,,118,894,772,22,1982.0,299600.0
4358,md,5685,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,
4359,md,5686,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,
4360,md,5687,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,,
4361,md,5688,1134,898,178,64,23,41,154,106,,,,,,,,117891.0,,,0,366,339,27,1978.0,269800.0
4362,md,5689,951,874,0,63,54,0,141,183,,,,,,,,59961.0,,,9,413,387,0,1976.0,276400.0
4363,md,5690,4409,3823,437,184,119,65,730,314,,,,,,,,109491.0,,,35,1190,1064,88,1997.0,360300.0
4364,md,5691,869,869,0,19,19,0,43,134,,,,,,,,136250.0,,,28,197,197,0,1970.0,296000.0
4365,md,5692,1937,1527,313,16,16,0,423,146,,,,,,,,92770.0,,,30,294,231,55,1973.0,242800.0
4366,md,5693,3028,2762,125,134,126,0,500,351,,,,,,,,105972.0,,,17,916,852,28,1984.0,285600.0
4367,md,5694,3773,3631,83,112,105,7,530,399,,,,,,,,109167.0,,,60,1102,1062,20,1988.0,326100.0
4368,md,5695,1277,1158,109,39,32,7,190,173,,,,,,,,80625.0,,,23,336,306,30,1977.0,296500.0
4369,md,5696,2185,1913,215,101,91,10,308,164,,,,,,,,104931.0,,,38,648,589,47,1993.0,278800.0
